gen_z,normal
bruh everything about this moment is delusional arc.,friend everything about this moment is extremely going through an unrealistic phase.
That drop had everyone acting locked in.,That drop had everyone acting focused.
Yes because what we really needed was more bet rn,"Yes, because what we truly needed was more okay, sounds good, I agree I promise"
the vibe in that room was literallyy pick me.,The vibe in that room was literally extremely pick me.
Smh the situation is very talking stage,"I am disappointed, the situation is very early phase of romantic interest"
Ngl rn im fully in my soft launching phase,Honestly right now I am fully in my subtly hinting at a new relationship phase
I have been on my goofy behavior lately ong,I have been on my silly or weird behavior lately right now
Walked into the exam and went full gg,"Entered the exam room and immediately displayed good game, well done"
Bro that midterm ate and left no crumbs i'm sending me bestie,That midterm absolutely dominated and now I am making me laugh extremely hard without question
Not the malding hitting different tonight ngl,"The mad and balding, extremely frustrated feeling is hitting differently tonight without question"
The glow up is real lately folks ngl,The feeling of significant positive transformation is very real lately truly
"This is fine (it's not, it's getting bodied) ong",Everything is fine but actually it is being thoroughly defeated honestly
"Wait, was that not completely random game periodt","Wait, was that not completely situation or context? without question"
bruh ngl rn im fully in my chronically online phase,honestly honestly right now I am fully in my spending too much time online phase
Ily but that take was respawn,I care about you but that opinion showed coming back after failure
This is your daily reminder that the lore exists,This is your reminder that the full backstory is real
Omg the cafeteria was iconic genuinely today no cap,"Not to overthink this but the cafeteria served something sarcastically praising something bad today, no exaggeration"
Yes continue please this L + ratio is so helpful,"Yes please continue, this complete failure online is so incredibly helpful"
they were being so she cooked about this whole thing..,They were being so extremely she did it perfectly about this whole thing.
He went full fire mode during the match.,He went full amazing or excellent mode during the match.
Wait is that not noob tube rn,"Wait, is that not considered easy weapon used by beginners? I promise"
Dude the cafeteria was cope lately no cap,"For real though the cafeteria served something to manage disappointment unrealistically today, no exaggeration"
Is it simply me or is this giving corecore energy istg,Is it simply me or is this giving a deeply emotional internet aesthetic energy? and that is funny
Dude i'm literally cafeteria bussin rn,I am literally experiencing the cafeteria food is excellent right now
The pipeline from normal to tbf is short,The path from normal behavior to to be fair is surprisingly short
istg the difference between pros and noobs is just sweaty,I swear the gap between professionals and beginners is simply playing very competitively
"bruh bro, you are literally giving flex right now.","seriously speaking bro, you are literally giving extremely show off right now."
So impressed by this level of S tier behavior,"So thoroughly impressed by this level of top tier, best category behavior"
